"AGE","ECONPRIM","ETHGROUP","MSTATUS","QUALNUM","SEX","SOCLASS","HHSPTYPE","TENURE","COBIRTH_dv","COBIRTH"
2,NA,"Black Oth","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Flat-res","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Flat-res","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent HsAssoc","UK","1"
2,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
2,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Semi-det","Rent priv furn","UK","1"
2,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent priv furn","UK","1"
2,NA,"Pakistani","Single","0","Male",NA,"Terraced","Rent priv furn","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
2,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Detached","Rent priv furn","UK","1"
2,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent priv furn","UK","1"
2,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent priv furn","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent HsAssoc","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Own-occ buy","UK","1"
